source_title,source_url,property_type_v2,property_type_v3,property_type_changed,transaction_v2,transaction_v3,transaction_derivation,address_v3,address_status,geocoding_needed,primary_image_status,suite_count,availability_context_count,contact_count,blocking_conflicts,non_blocking_warnings,remaining_conflicts,import_readiness,review_decision,review_notes,submitted_address,geocode_status,matched_address,latitude,longitude,geocode_review_reason,source_coordinate_status,source_coordinate_distance_m,inside_current_pmtiles_bounds,existing_wp_coordinate,existing_wp_coordinate_distance_m,import_readiness_v3,geocode_readiness
"Broadway Shopping Center - 5900 - 5940 Broadway Street Galveston, TX 77551",https://www.aspirecre.com/properties/5900-5940-broadway-street-galveston-tx-77551,Retail,Retail,False,For Lease,For Lease,explicit,"{""address_line_1"": ""5900 - 5940 Broadway Street"", ""city"": ""Galveston"", ""state"": ""TX"", ""postal_code"": ""77551""}",reliable,True,review_required,2,0,2,,primary_image_review_required; needs_geocoding,,REVIEW_REQUIRED,,,"{""address_line_1"": ""5900 - 5940 Broadway Street"", ""city"": ""Galveston"", ""state"": ""TX"", ""postal_code"": ""77551""}",UNMATCHED,,,,,,,,,,REVIEW_REQUIRED,READY_WITHOUT_COORDINATES
"The Offices at Westheimer - 5959 Westheimer Road Houston, TX 77057",https://www.aspirecre.com/properties/5959-westheimer-rd,Office,Office,False,For Lease,,unresolved,"{""address_line_1"": ""5959 WESTHEIMER ROAD"", ""city"": ""HOUSTON"", ""state"": ""TX"", ""postal_code"": ""77057""}",reliable,False,review_required,0,0,2,,transaction_unresolved; primary_image_review_required,,REVIEW_REQUIRED,,,"{""address_line_1"": ""5959 WESTHEIMER ROAD"", ""city"": ""HOUSTON"", ""state"": ""TX"", ""postal_code"": ""77057""}",ACCEPTED,"5959 WESTHEIMER RD, HOUSTON, TX, 77057",29.737648834729,-95.486665637762,,CONSISTENT,134.0,True,,,REVIEW_REQUIRED,READY_WITH_COORDINATES
"603 Tori Road - 603 Tori Road Richmond, TX 77469",https://www.aspirecre.com/properties/603-tori-road-richmond-tx-77469,Land,Land,False,,,unresolved,"{""address_line_1"": ""603 TORI ROAD"", ""city"": ""RICHMOND"", ""state"": ""TX"", ""postal_code"": ""77469""}",reliable,True,review_required,0,0,2,,transaction_unresolved; primary_image_review_required; needs_geocoding,,REVIEW_REQUIRED,,,"{""address_line_1"": ""603 TORI ROAD"", ""city"": ""RICHMOND"", ""state"": ""TX"", ""postal_code"": ""77469""}",ACCEPTED,"603 TORI RD, RICHMOND, TX, 77469",29.536734581287,-95.742521388242,,,,True,,,REVIEW_REQUIRED,READY_WITH_COORDINATES
"Greatwood Office Condos - 6544 Greatwood Pky, Sugar Land, TX 77479",https://www.aspirecre.com/properties/6544-greatwood-pky-sugar-land-tx-77479,Office Condo,Office Condo,False,For Sale or Lease,For Sale + For Lease,explicit,"{""address_line_1"": ""6544 Greatwood Pky"", ""city"": ""Sugar Land"", ""state"": ""TX"", ""postal_code"": ""77479""}",reliable,True,high_confidence,0,0,0,,needs_geocoding; multi_transaction_frontend_schema_gap,,REVIEW_REQUIRED,,,"{""address_line_1"": ""6544 Greatwood Pky"", ""city"": ""Sugar Land"", ""state"": ""TX"", ""postal_code"": ""77479""}",ACCEPTED,"6544 GREATWOOD PKWY, SUGAR LAND, TX, 77479",29.560036882883,-95.685814903371,,,,True,,,REVIEW_REQUIRED,READY_WITH_COORDINATES
"7395 Mchard Road Houston, TX 77053",https://www.aspirecre.com/properties/7395-mchard-road-houston-tx-77053,Retail,Retail,False,For Lease,For Lease,explicit,"{""address_line_1"": ""7395 MCHARD ROAD"", ""city"": ""HOUSTON"", ""state"": ""TX"", ""postal_code"": ""77053""}",reliable,True,review_required,5,0,1,,primary_image_review_required; needs_geocoding,suite_inventory,REVIEW_REQUIRED,,,"{""address_line_1"": ""7395 MCHARD ROAD"", ""city"": ""HOUSTON"", ""state"": ""TX"", ""postal_code"": ""77053""}",ACCEPTED,"7395 MCHARD RD, HOUSTON, TX, 77053",29.581220594217,-95.454302222865,,,,True,,,REVIEW_REQUIRED,READY_WITH_COORDINATES
"747 N Eldridge Parkway, Houston, TX 77079",https://www.aspirecre.com/properties/747-n-eldridge-pkwy-houston-tx-77079,Retail,Retail,False,,,unresolved,"{""address_line_1"": ""747 N ELDRIDGE PARKWAY"", ""city"": ""HOUSTON"", ""state"": ""TX"", ""postal_code"": ""77079""}",reliable,True,review_required,0,0,3,,transaction_unresolved; primary_image_review_required; needs_geocoding,traffic_count_vpd,REVIEW_REQUIRED,,,"{""address_line_1"": ""747 N ELDRIDGE PARKWAY"", ""city"": ""HOUSTON"", ""state"": ""TX"", ""postal_code"": ""77079""}",ACCEPTED,"747 N ELDRIDGE PKWY, HOUSTON, TX, 77079",29.776108838012,-95.618642102775,,,,True,,,REVIEW_REQUIRED,READY_WITH_COORDINATES
"Atascocita Retail Center - 7506 E FM-1960 Humble, TX 77346",https://www.aspirecre.com/properties/7506-e-fm-1960-humble-texas-77346,Retail,Retail,False,For Lease,For Lease,strongly_derived,"{""address_line_1"": ""7506 FM 1960 ROAD E"", ""city"": ""HUMBLE"", ""state"": ""TX"", ""postal_code"": ""77346""}",reliable,True,high_confidence,2,0,2,,derived_transaction_requires_approval; needs_geocoding,suite_inventory,REVIEW_REQUIRED,,,"{""address_line_1"": ""7506 FM 1960 ROAD E"", ""city"": ""HUMBLE"", ""state"": ""TX"", ""postal_code"": ""77346""}",UNMATCHED,,,,,,,,"{""latitude"": 29.9981, ""longitude"": -95.1616}",,REVIEW_REQUIRED,READY_WITHOUT_COORDINATES
"Seven-Seventy Post Oak - 770 Post Oak Lane Houston, TX 77056",https://www.aspirecre.com/properties/770-post-oak-770-post-oak-lane,Office,Office,False,,,unresolved,,review_required,False,high_confidence,0,0,3,unresolved_critical_address,transaction_unresolved,address,BLOCKED,,,,NOT_ATTEMPTED,,,,v3_address_not_eligible_or_incomplete,NOT_COMPARABLE,,,,,BLOCKED,BLOCKED
"7919 Grand Mission Boulevard, Richmond, Texas 77407",https://www.aspirecre.com/properties/7919-grand-mission-boulevard-richmond-texas-77407,Retail,Retail,False,,For Lease,strongly_derived,"{""address_line_1"": ""7919 GRAND MISSION BOULEVARD"", ""city"": ""RICHMOND"", ""state"": ""TX"", ""postal_code"": ""77407""}",reliable,True,review_required,2,0,3,,derived_transaction_requires_approval; primary_image_review_required; needs_geocoding,,REVIEW_REQUIRED,,,"{""address_line_1"": ""7919 GRAND MISSION BOULEVARD"", ""city"": ""RICHMOND"", ""state"": ""TX"", ""postal_code"": ""77407""}",ACCEPTED,"7919 GRAND MISSION BLVD, RICHMOND, TX, 77407",29.69158665119,-95.716840466671,,,,True,,,REVIEW_REQUIRED,READY_WITH_COORDINATES
"8401 W Monroe Rd – 8401 W Monroe Road, Houston, TX 77061",https://www.aspirecre.com/properties/8401-w-monroe-road-houston-tx-77061,Industrial / Flex,Industrial / Flex,False,,,unresolved,"{""address_line_1"": ""8401 W Monroe Road"", ""city"": ""Houston"", ""state"": ""TX"", ""postal_code"": ""77061""}",reliable,True,high_confidence,0,0,0,,transaction_unresolved; needs_geocoding; brochure_text_unavailable,,REVIEW_REQUIRED,,,"{""address_line_1"": ""8401 W Monroe Road"", ""city"": ""Houston"", ""state"": ""TX"", ""postal_code"": ""77061""}",ACCEPTED,"8401 W MONROE RD, HOUSTON, TX, 77061",29.648972668863,-95.26706278917,,,,True,,,REVIEW_REQUIRED,READY_WITH_COORDINATES
